X,Y
1,6
2,8
3,10
4,12
5,14
6,16
7,18
8,20
9,22
10,24
11,26
12,28
13,30
14,32
15,34
16,36
17,38
18,40
19,42
20,44
21,46
22,48
23,50
24,52
25,54
26,56
27,58
28,60
29,62
30,64
31,66
32,68
33,70
34,72
35,74
36,76
37,78
38,80
39,82
40,84
41,86
42,88
43,90
44,92
45,94
46,96
47,98
48,100
49,102
50,104
51,106
52,108
53,110
54,112
55,114
56,116
57,118
58,120
59,122
60,124
61,126
62,128
63,130
64,132
65,134
66,136
67,138
68,140
69,142
70,144
71,146
72,148
73,150
74,152
75,154
76,156
77,158
78,160
79,162
80,164
81,166
82,168
83,170
84,172
85,174
